acl 2.3.1-2
minizip 1:1.2.12-2
mkinitcpio 31-3
mkinitcpio-busybox 1.35.0-1
mobile-broadband-provider-info 20220725-1
mono 6.12.0.177-1
mono-msbuild 16.10.1.xamarinxplat.2021.05.26.14.00-3
mpfr 4.1.0.p13-3
msgpack-c 4.0.0-1
mtdev 1.1.6-2
nano 6.4-1
nautilus 42.2-1
ncurses 6.3-3
ndctl 74-1
neofetch 7.1.0-2
neovim 0.7.2-3
net-snmp 5.9.1-4
net-tools 2.10-1
nettle 3.8.1-1
networkmanager 1.40.0-1
node-gyp 9.1.0-1
nodejs 18.9.1-1
nodejs-nopt 6.0.0-1
noto-fonts 20220607-1
noto-fonts-cjk 20220126-1
noto-fonts-emoji 20220906-1
noto-fonts-extra 20220607-1
npm 8.19.2-1
npth 1.6-3
nspr 4.35-1
nss 3.83-1
ocl-icd 2.3.1-1
oniguruma 6.9.8-1
opencore-amr 0.1.6-1
openjpeg2 2.5.0-1
openmpi 4.1.4-2
openpmix 4.2.0-1
openssh 9.0p1-1
openssl 1.1.1.q-1
opus 1.3.1-3
orc 0.4.32-1
osinfo-db 20220830-1
p11-kit 0.24.1-1
pacman 6.0.1-7
pacman-mirrorlist 20220828-1
pacutils 0.11.1-1
pam 1.5.2-1
pambase 20211210-1
pamixer 1.6-2
pango 1:1.50.10-1
papirus-icon-theme 20220910-1
parted 3.5-1
patch 2.7.6-8
pciutils 3.8.0-2
pcre 8.45-2
pcre2 10.40-2
perl 5.36.0-1
perl-data-dump 1.25-3
perl-encode-locale 1.05-9
perl-error 0.17029-4
perl-file-listing 6.15-2
perl-html-parser 3.78-2
perl-html-tagset 3.20-12
perl-http-cookies 6.10-3
perl-http-daemon 6.14-2
perl-http-date 6.05-5
perl-http-message 6.37-1
perl-http-negotiate 6.01-10
perl-io-html 1.004-3
perl-io-socket-ssl 2.075-1
perl-json 4.09-1
perl-libwww 6.67-1
perl-log-message 0.08-8
perl-log-message-simple 0.10-8
perl-lwp-mediatypes 6.04-2
perl-lwp-protocol-https 6.10-4
perl-mailtools 2.21-6
perl-mozilla-ca 20211001-1
perl-net-http 6.22-2
perl-net-ssleay 1.92-1
perl-term-readline-gnu 1.42-2
perl-term-ui 0.50-2
perl-timedate 2.33-4
perl-try-tiny 0.31-2
perl-uri 5.12-1
perl-www-robotrules 6.02-10
php 8.1.10-1
php-apache 8.1.10-1
php-cgi 8.1.10-1
php-embed 8.1.10-1
php-fpm 8.1.10-1
php-gd 8.1.10-1
php-igbinary 3.2.7-2
php-imap 8.1.10-1
php-intl 8.1.10-1
php-redis 5.3.7-1
php-snmp 8.1.10-1
picom 9.1-3
pinentry 1.2.0-1
pipewire 1:0.3.58-1
pixman 0.40.0-2
pkgconf 1.8.0-1
polkit 121-1
polybar 3.6.3-2
poppler 22.09.0-1
poppler-glib 22.09.0-1
popt 1.18-3
procps-ng 3.3.17-1
psmisc 23.5-1
pulseaudio 16.1-1
pulseaudio-alsa 1:1.2.7.1-1
python 3.10.7-1
python-docutils 1:0.19-2
python-gobject 3.42.2-1
python-pip 22.2.2-2
python-psutil 5.9.2-1
qt5-base 5.15.6+kde+r177-1
qt5-svg 5.15.6+kde+r9-1
qt5-translations 5.15.6+kde+r2-1
qt5ct 1.5-2
rav1e 0.5.1-2
re2 1:20220601-1
readline 8.1.002-1
rest 0.8.1+r4+ge5ee6ef-1
rider 1:2022.2.2-1
ripgrep 13.0.0-2
rofi 1.7.5-1
rtkit 0.13-2
ruby 3.0.4-9
ruby-abbrev 0.1.0-1
ruby-base64 0.1.1-1
ruby-benchmark 0.2.0-1
ruby-bigdecimal 3.1.2-1
ruby-bundledgems 3.0.4-9
ruby-bundler 2.3.22-1
ruby-cgi 0.3.2-1
ruby-csv 3.2.5-1
ruby-date 3.2.2-1
ruby-delegate 0.2.0-1
ruby-did_you_mean 1.6.1-1
ruby-diff-lcs 1.5.0-1
ruby-digest 3.1.0-1
ruby-drb 2.1.0-1
ruby-english 0.7.1-1
ruby-erb 2.2.3-2
ruby-etc 1.3.0-2
ruby-fcntl 1.0.1-1
ruby-fiddle 1.1.0-1
ruby-fileutils 1.6.0-1
ruby-find 0.1.1-1
ruby-forwardable 1.3.2-1
ruby-getoptlong 0.1.1-1
ruby-io-console 0.5.11-1
ruby-io-nonblock 0.1.0-1
ruby-io-wait 0.2.3-1
ruby-ipaddr 1.2.4-1
